gps_start,detector,session_id,origin_table,local_cluster_id,global_family_id,max_similarity_to_3a,transitivity_status,gravity_spy_label,gravity_spy_confidence,robustness_class,native_o4a_score,native_score,native_score_idxq4_64_queryq4_64,robustness_class_idxq4_64_queryq4_64
1369254396.0,L1,1368973312,3a,C3,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.2861558496952057,0.2861558496952057,0.1130453050136566,BACKGROUND
1369254460.0,L1,1368973312,3a,C12,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.1122725307941436,0.1122725307941436,0.1432921290397644,BACKGROUND
1369254652.0,L1,1368973312,3a,C3,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.3107148706912994,0.3107148706912994,0.1130310967564582,BACKGROUND
1369255260.0,L1,1368973312,3a,C0,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.3066969513893127,0.3066969513893127,0.0911934226751327,BACKGROUND
1369255612.0,L1,1368973312,3a,C3,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.0860485732555389,0.0860485732555389,0.1458532661199569,BACKGROUND
1369255644.0,L1,1368973312,3a,C0,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.0667758658528328,0.0667758658528328,0.0966976657509803,BACKGROUND
1369255996.0,L1,1368973312,3a,C12,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.2835713028907776,0.2835713028907776,0.1102591007947921,BACKGROUND
1369256028.0,H1,1368973312,3a,C3,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.0823065191507339,0.0823065191507339,0.0885229185223579,BACKGROUND
1369256540.0,H1,1368973312,3a,C3,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.0539847426116466,0.0539847426116466,0.0756398811936378,BACKGROUND
1369258140.0,H1,1368973312,3a,C2,Family_01,,Confirmed_Local,Not_Found,0.0,ROBUST,0.475882351398468,0.475882351398468,0.434476763010025,ROBUST
1369259260.0,L1,1368973312,3a,C11,Family_01,,Confirmed_Local,Not_Found,0.0,AMBIGUOUS,0.4304673969745636,0.4304673969745636,0.4069575667381286,ROBUST
1369260988.0,H1,1368973312,3a,C1,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.0612240061163902,0.0612240061163902,0.4370008409023285,ROBUST
1369261436.0,H1,1368973312,3a,C2,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.3103890717029571,0.3103890717029571,0.4449500441551208,ROBUST
1369261884.0,H1,1368973312,3a,C3,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.0738993063569068,0.0738993063569068,0.0848756954073906,BACKGROUND
1369262236.0,L1,1368973312,3a,C11,Family_01,,Confirmed_Local,Not_Found,0.0,AMBIGUOUS,0.430020272731781,0.430020272731781,0.4127010405063629,ROBUST
1369262588.0,L1,1368973312,3a,C12,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.2631750404834747,0.2631750404834747,0.1177126839756965,BACKGROUND
1369262652.0,L1,1368973312,3a,C12,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.1409051269292831,0.1409051269292831,0.1354544758796692,BACKGROUND
1369263036.0,L1,1368973312,3a,C9,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.1392156034708023,0.1392156034708023,0.1878452599048614,AMBIGUOUS
1369263100.0,L1,1368973312,3a,C0,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.0824820175766944,0.0824820175766944,0.109396256506443,BACKGROUND
1369263388.0,L1,1368973312,3a,C12,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.1020125970244407,0.1020125970244407,0.1193542778491973,BACKGROUND
1369276636.0,H1,1368973312,3a,C3,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.0585851967334747,0.0585851967334747,0.0716249570250511,BACKGROUND
1369276860.0,H1,1368973312,3a,C8,Family_01,,Confirmed_Local,Not_Found,0.0,ROBUST,0.4936650097370147,0.4936650097370147,0.4589080810546875,ROBUST
1369277212.0,L1,1368973312,3a,C11,Family_01,,Confirmed_Local,Not_Found,0.0,ROBUST,0.4685011804103851,0.4685011804103851,0.4423767328262329,ROBUST
1369277340.0,L1,1368973312,3a,C2,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.0529632493853569,0.0529632493853569,0.0728775188326835,BACKGROUND
