detector,gps_start,family,source,dsd_class,dsd_score,taxonomy_representation
H1,1387258556,Family_01,family,BACKGROUND,0.1043968796730041,idxq4-64_queryq4-64
H1,1382975324,Family_01,family,BACKGROUND,0.1051264479756355,idxq4-64_queryq4-64
H1,1373268380,Family_01,family,BACKGROUND,0.1057617142796516,idxq4-64_queryq4-64
H1,1385210908,Family_01,family,BACKGROUND,0.1062146201729774,idxq4-64_queryq4-64
H1,1371361884,Family_01,family,BACKGROUND,0.1069522872567176,idxq4-64_queryq4-64
H1,1387124124,Family_01,family,BACKGROUND,0.1075926199555397,idxq4-64_queryq4-64
H1,1388669948,Family_01,family,BACKGROUND,0.1083390042185783,idxq4-64_queryq4-64
L1,1378540924,Family_01,family,BACKGROUND,0.1089411601424217,idxq4-64_queryq4-64
H1,1373581660,Family_01,family,BACKGROUND,0.1094225049018859,idxq4-64_queryq4-64
H1,1389040412,Family_01,family,BACKGROUND,0.110229954123497,idxq4-64_queryq4-64
H1,1389002364,Family_01,family,BACKGROUND,0.1111408025026321,idxq4-64_queryq4-64
H1,1382944060,Family_01,family,BACKGROUND,0.1117795556783676,idxq4-64_queryq4-64
H1,1389430300,Family_01,family,BACKGROUND,0.1125234961509704,idxq4-64_queryq4-64
H1,1383721116,Family_01,family,BACKGROUND,0.1133032813668251,idxq4-64_queryq4-64
H1,1379498396,Family_01,family,BACKGROUND,0.1138243004679679,idxq4-64_queryq4-64
H1,1370796892,Family_01,family,BACKGROUND,0.1147906482219696,idxq4-64_queryq4-64
L1,1370798972,Family_01,family,BACKGROUND,0.115598440170288,idxq4-64_queryq4-64
H1,1372450524,Family_01,family,BACKGROUND,0.116712138056755,idxq4-64_queryq4-64
H1,1389305436,Family_01,family,BACKGROUND,0.1176193207502365,idxq4-64_queryq4-64
H1,1374175036,Family_01,family,BACKGROUND,0.1185487285256385,idxq4-64_queryq4-64
L1,1379972892,Family_01,family,BACKGROUND,0.1192960441112518,idxq4-64_queryq4-64
H1,1372736092,Family_01,family,BACKGROUND,0.1199751496315002,idxq4-64_queryq4-64
L1,1380327164,Family_01,family,BACKGROUND,0.1207427158951759,idxq4-64_queryq4-64
H1,1381677244,Family_01,family,BACKGROUND,0.1216593906283378,idxq4-64_queryq4-64
H1,1382656028,Family_01,family,BACKGROUND,0.1225944384932518,idxq4-64_queryq4-64
L1,1384518396,Family_01,family,BACKGROUND,0.1233971938490867,idxq4-64_queryq4-64
L1,1377552508,Family_01,family,BACKGROUND,0.1245303750038147,idxq4-64_queryq4-64
H1,1383335996,Family_01,family,BACKGROUND,0.1255227029323578,idxq4-64_queryq4-64
L1,1384403260,Family_01,family,BACKGROUND,0.1264127194881439,idxq4-64_queryq4-64
H1,1380240220,Family_01,family,BACKGROUND,0.1274660378694534,idxq4-64_queryq4-64
H1,1388368796,Family_01,family,BACKGROUND,0.1284635514020919,idxq4-64_queryq4-64
H1,1387258012,Family_01,family,BACKGROUND,0.1294050514698028,idxq4-64_queryq4-64
H1,1378854844,Family_01,family,AMBIGUOUS,0.1303783357143402,idxq4-64_queryq4-64
H1,1389440476,Family_01,family,AMBIGUOUS,0.1311733126640319,idxq4-64_queryq4-64
H1,1374508380,Family_01,family,AMBIGUOUS,0.1324371397495269,idxq4-64_queryq4-64
H1,1387486620,Family_01,family,AMBIGUOUS,0.1334612667560577,idxq4-64_queryq4-64
H1,1380826332,Family_01,family,AMBIGUOUS,0.1347539126873016,idxq4-64_queryq4-64
L1,1379317180,Family_01,family,BACKGROUND,0.1359146684408188,idxq4-64_queryq4-64
L1,1384387932,Family_01,family,BACKGROUND,0.1369341760873794,idxq4-64_queryq4-64
L1,1385752092,Family_01,family,BACKGROUND,0.1381015330553054,idxq4-64_queryq4-64
L1,1379948508,Family_01,family,BACKGROUND,0.1397778838872909,idxq4-64_queryq4-64
L1,1380263452,Family_01,family,BACKGROUND,0.141014963388443,idxq4-64_queryq4-64
L1,1370967068,Family_01,family,BACKGROUND,0.1427672058343887,idxq4-64_queryq4-64
L1,1370866172,Family_01,family,BACKGROUND,0.1458134353160858,idxq4-64_queryq4-64
L1,1370281212,Family_01,family,BACKGROUND,0.1482953578233719,idxq4-64_queryq4-64
L1,1378652764,Family_01,family,BACKGROUND,0.1501694917678833,idxq4-64_queryq4-64
H1,1369305276,Singleton_1369305276,singleton,ROBUST,0.4300166964530945,idxq4-64_queryq4-64
L1,1382955228,Singleton_1382955228,singleton,ROBUST,0.5988767743110657,idxq4-64_queryq4-64
