detector,gps_start,family,aux_channel,max_coherence,peak_freq,significant,data_available,note,dsd_class,dsd_score,taxonomy_representation
L1,1373813628,Family_01,L1:ASC-X_TR_A_NSUM_OUT_DQ,0.6728328581199392,180.0,True,True,,ROBUST,0.406109869480133,idxq4-64_queryq4-64
L1,1373813628,Family_01,L1:CAL-PCALX_RX_PD_OUT_DQ,0.2671230619400212,180.0,False,True,,ROBUST,0.406109869480133,idxq4-64_queryq4-64
L1,1373813628,Family_01,L1:CAL-PCALY_RX_PD_OUT_DQ,0.2109624735935034,106.5,False,True,,ROBUST,0.406109869480133,idxq4-64_queryq4-64
L1,1373813628,Family_01,L1:IMC-WFS_B_I_PIT_OUT_DQ,0.3918217808457168,60.0,False,True,,ROBUST,0.406109869480133,idxq4-64_queryq4-64
L1,1373813628,Family_01,L1:SUS-ETMX_L1_CAL_LINE_OUT_DQ,0.2051558592737707,246.5,False,True,,ROBUST,0.406109869480133,idxq4-64_queryq4-64
L1,1373813628,Family_01,L1:SUS-ETMX_L2_CAL_LINE_OUT_DQ,0.1925769458722507,160.0,False,True,,ROBUST,0.406109869480133,idxq4-64_queryq4-64
L1,1373813628,Family_01,L1:SUS-ETMX_L3_CAL_LINE_OUT_DQ,0.1941803608207595,220.5,False,True,,ROBUST,0.406109869480133,idxq4-64_queryq4-64
L1,1370953084,Family_01,L1:ASC-X_TR_A_NSUM_OUT_DQ,0.8067898157774646,20.0,True,True,,ROBUST,0.4129555523395538,idxq4-64_queryq4-64
L1,1370953084,Family_01,L1:CAL-PCALX_RX_PD_OUT_DQ,0.3131354874212568,228.5,False,True,,ROBUST,0.4129555523395538,idxq4-64_queryq4-64
L1,1370953084,Family_01,L1:CAL-PCALY_RX_PD_OUT_DQ,0.2150840711890036,368.0,False,True,,ROBUST,0.4129555523395538,idxq4-64_queryq4-64
L1,1370953084,Family_01,L1:IMC-WFS_B_I_PIT_OUT_DQ,0.2122117189139349,229.0,False,True,,ROBUST,0.4129555523395538,idxq4-64_queryq4-64
L1,1370953084,Family_01,L1:SUS-ETMX_L1_CAL_LINE_OUT_DQ,0.1109239315136981,177.5,False,True,,ROBUST,0.4129555523395538,idxq4-64_queryq4-64
L1,1370953084,Family_01,L1:SUS-ETMX_L2_CAL_LINE_OUT_DQ,0.1069285308070765,229.0,False,True,,ROBUST,0.4129555523395538,idxq4-64_queryq4-64
L1,1370953084,Family_01,L1:SUS-ETMX_L3_CAL_LINE_OUT_DQ,0.1135844323791033,199.5,False,True,,ROBUST,0.4129555523395538,idxq4-64_queryq4-64
H1,1370330876,Family_01,H1:CAL-PCALX_RX_PD_OUT_DQ,,,False,False,Fetch failed from nds.gwosc.org,ROBUST,0.4171993732452392,idxq4-64_queryq4-64
H1,1370330876,Family_01,H1:CAL-PCALY_RX_PD_OUT_DQ,0.2547138106989348,165.5,False,True,,ROBUST,0.4171993732452392,idxq4-64_queryq4-64
H1,1370330876,Family_01,H1:IMC-WFS_A_DC_PIT_OUT_DQ,,,False,False,Fetch failed from nds.gwosc.org,ROBUST,0.4171993732452392,idxq4-64_queryq4-64
H1,1370330876,Family_01,H1:IMC-WFS_A_DC_YAW_OUT_DQ,,,False,False,Fetch failed from nds.gwosc.org,ROBUST,0.4171993732452392,idxq4-64_queryq4-64
H1,1370330876,Family_01,H1:LSC-POP_A_LF_OUT_DQ,0.4887508548611274,60.0,False,True,,ROBUST,0.4171993732452392,idxq4-64_queryq4-64
H1,1370330876,Family_01,H1:LSC-REFL_A_RIN_OUT_DQ,,,False,False,Fetch failed from nds.gwosc.org,ROBUST,0.4171993732452392,idxq4-64_queryq4-64
H1,1370330876,Family_01,H1:SUS-ETMX_L1_CAL_LINE_OUT_DQ,0.1081554123426748,224.5,False,True,,ROBUST,0.4171993732452392,idxq4-64_queryq4-64
H1,1370330876,Family_01,H1:SUS-ETMX_L2_CAL_LINE_OUT_DQ,0.1059649946846148,187.0,False,True,,ROBUST,0.4171993732452392,idxq4-64_queryq4-64
H1,1370330876,Family_01,H1:SUS-ETMX_L3_CAL_LINE_OUT_DQ,0.0833782352747788,193.5,False,True,,ROBUST,0.4171993732452392,idxq4-64_queryq4-64
L1,1383719836,Family_01,L1:ASC-X_TR_A_NSUM_OUT_DQ,0.2450525134533001,468.0,False,True,,ROBUST,0.4212601482868194,idxq4-64_queryq4-64
L1,1383719836,Family_01,L1:CAL-PCALX_RX_PD_OUT_DQ,0.2540144512313552,30.0,False,True,,ROBUST,0.4212601482868194,idxq4-64_queryq4-64
L1,1383719836,Family_01,L1:CAL-PCALY_RX_PD_OUT_DQ,0.2110036307463588,468.5,False,True,,ROBUST,0.4212601482868194,idxq4-64_queryq4-64
L1,1383719836,Family_01,L1:IMC-WFS_B_I_PIT_OUT_DQ,0.4981739683686761,60.0,False,True,,ROBUST,0.4212601482868194,idxq4-64_queryq4-64
L1,1383719836,Family_01,L1:SUS-ETMX_L1_CAL_LINE_OUT_DQ,0.2028269610116769,218.5,False,True,,ROBUST,0.4212601482868194,idxq4-64_queryq4-64
L1,1383719836,Family_01,L1:SUS-ETMX_L2_CAL_LINE_OUT_DQ,0.1741434616824873,229.0,False,True,,ROBUST,0.4212601482868194,idxq4-64_queryq4-64
L1,1383719836,Family_01,L1:SUS-ETMX_L3_CAL_LINE_OUT_DQ,0.203774348522897,215.5,False,True,,ROBUST,0.4212601482868194,idxq4-64_queryq4-64
L1,1379439132,Family_01,L1:ASC-X_TR_A_NSUM_OUT_DQ,0.4153675543591885,54.5,False,True,,ROBUST,0.42450812458992,idxq4-64_queryq4-64
