detector,gps_start,family,m_channels,n_windows,n_surrogate_pairs,threshold_fw,cmax_observed,top_channel,top_channel_baseline,threshold_zero_lag,verdict,dsd_class,dsd_score,taxonomy_representation,top_channel_class,verdict_tier
H1,1382944060,Family_01,9,106,11130,0.8296429514884949,0.468987896605545,H1:IMC-WFS_A_DC_YAW_OUT_DQ,0.6341965198516846,0.9798601269721985,NO_CORRELATION,BACKGROUND,0.1117795556783676,idxq4-64_queryq4-64,IMC,NO_CORRELATION
H1,1382975324,Family_01,9,118,13806,0.8332979083061218,0.977948282903907,H1:LSC-REFL_A_RIN_OUT_DQ,0.7864320278167725,0.9836040139198303,COUPLED,BACKGROUND,0.1051264479756355,idxq4-64_queryq4-64,LSC,SUSPECT
H1,1383298684,Family_01,9,114,12882,0.9038262963294983,0.581443741129091,H1:LSC-REFL_A_RIN_OUT_DQ,0.8381416201591492,0.9878630042076111,NO_CORRELATION,BACKGROUND,0.0805712640285492,idxq4-64_queryq4-64,LSC,NO_CORRELATION
H1,1383335996,Family_01,9,119,14042,0.8584241271018982,0.5804651855627342,H1:LSC-REFL_A_RIN_OUT_DQ,0.836262047290802,0.9837979674339294,NO_CORRELATION,BACKGROUND,0.1255227029323578,idxq4-64_queryq4-64,LSC,NO_CORRELATION
H1,1383564188,Family_01,9,112,12432,0.9135732054710388,0.7792631403140682,H1:IMC-WFS_A_DC_YAW_OUT_DQ,0.722842812538147,0.9863044619560242,NO_CORRELATION,BACKGROUND,0.0985890701413154,idxq4-64_queryq4-64,IMC,NO_CORRELATION
H1,1383721116,Family_01,9,133,17556,0.8058346509933472,0.8440704349313666,H1:LSC-REFL_A_RIN_OUT_DQ,0.7330301403999329,0.9675447344779968,COUPLED,BACKGROUND,0.1133032813668251,idxq4-64_queryq4-64,LSC,SUSPECT
H1,1383890108,Family_01,9,121,14520,0.8465815186500549,0.9636233997122416,H1:LSC-REFL_A_RIN_OUT_DQ,0.676024317741394,0.9453088641166687,COUPLED,BACKGROUND,0.0909956470131874,idxq4-64_queryq4-64,LSC,COUPLED
H1,1383979004,Family_01,9,125,15500,0.8201731443405151,0.6833172742523412,H1:LSC-REFL_A_RIN_OUT_DQ,0.6853898167610168,0.9615370631217957,NO_CORRELATION,ROBUST,0.4341764152050018,idxq4-64_queryq4-64,LSC,NO_CORRELATION
H1,1384241532,Family_01,9,138,18906,0.8748217225074768,0.81194810458167,H1:LSC-REFL_A_RIN_OUT_DQ,0.8071911334991455,0.9810544848442078,NO_CORRELATION,BACKGROUND,0.0949319303035736,idxq4-64_queryq4-64,LSC,NO_CORRELATION
H1,1384782428,Family_01,9,130,16770,0.8538571000099182,0.3788062628160935,H1:IMC-WFS_A_DC_PIT_OUT_DQ,0.5609548687934875,0.9813241362571716,NO_CORRELATION,BACKGROUND,0.0996956825256347,idxq4-64_queryq4-64,IMC,NO_CORRELATION
