gps_start,gps_end,source_path,source_start,source_end,detector,run,calibration_score,bootstrap_block_index
1368984388.0,1368984420.0,E:\o4a\1368973312\H1_1368981504_1368985600.hdf5,1368981504.0,1368985600.0,H1,O4a,0.06552796065807343,299
1368984452.0,1368984484.0,E:\o4a\1368973312\H1_1368981504_1368985600.hdf5,1368981504.0,1368985600.0,H1,O4a,0.13970330357551575,299
1368984516.0,1368984548.0,E:\o4a\1368973312\H1_1368981504_1368985600.hdf5,1368981504.0,1368985600.0,H1,O4a,0.07403319329023361,299
1368984580.0,1368984612.0,E:\o4a\1368973312\H1_1368981504_1368985600.hdf5,1368981504.0,1368985600.0,H1,O4a,0.06408733874559402,299
1368984644.0,1368984676.0,E:\o4a\1368973312\H1_1368981504_1368985600.hdf5,1368981504.0,1368985600.0,H1,O4a,0.057718291878700256,299
1368984708.0,1368984740.0,E:\o4a\1368973312\H1_1368981504_1368985600.hdf5,1368981504.0,1368985600.0,H1,O4a,0.09154997020959854,299
1368984772.0,1368984804.0,E:\o4a\1368973312\H1_1368981504_1368985600.hdf5,1368981504.0,1368985600.0,H1,O4a,0.05579996481537819,299
1368984836.0,1368984868.0,E:\o4a\1368973312\H1_1368981504_1368985600.hdf5,1368981504.0,1368985600.0,H1,O4a,0.0817524865269661,299
1368984900.0,1368984932.0,E:\o4a\1368973312\H1_1368981504_1368985600.hdf5,1368981504.0,1368985600.0,H1,O4a,0.06730133295059204,299
1368984964.0,1368984996.0,E:\o4a\1368973312\H1_1368981504_1368985600.hdf5,1368981504.0,1368985600.0,H1,O4a,0.40057864785194397,299
1368985028.0,1368985060.0,E:\o4a\1368973312\H1_1368981504_1368985600.hdf5,1368981504.0,1368985600.0,H1,O4a,0.06213782727718353,299
1368985092.0,1368985124.0,E:\o4a\1368973312\H1_1368981504_1368985600.hdf5,1368981504.0,1368985600.0,H1,O4a,0.06798326969146729,299
1368985156.0,1368985188.0,E:\o4a\1368973312\H1_1368981504_1368985600.hdf5,1368981504.0,1368985600.0,H1,O4a,0.09311999380588531,299
1368985220.0,1368985252.0,E:\o4a\1368973312\H1_1368981504_1368985600.hdf5,1368981504.0,1368985600.0,H1,O4a,0.07101810723543167,299
1368988356.0,1368988388.0,E:\o4a\1368973312\H1_1368985600_1368989696.hdf5,1368985600.0,1368989696.0,H1,O4a,0.058345191180706024,300
1368988420.0,1368988452.0,E:\o4a\1368973312\H1_1368985600_1368989696.hdf5,1368985600.0,1368989696.0,H1,O4a,0.05764177441596985,300
1368988484.0,1368988516.0,E:\o4a\1368973312\H1_1368985600_1368989696.hdf5,1368985600.0,1368989696.0,H1,O4a,0.05731522664427757,300
1368988548.0,1368988580.0,E:\o4a\1368973312\H1_1368985600_1368989696.hdf5,1368985600.0,1368989696.0,H1,O4a,0.06224469467997551,300
1368988612.0,1368988644.0,E:\o4a\1368973312\H1_1368985600_1368989696.hdf5,1368985600.0,1368989696.0,H1,O4a,0.06584811210632324,300
1368988676.0,1368988708.0,E:\o4a\1368973312\H1_1368985600_1368989696.hdf5,1368985600.0,1368989696.0,H1,O4a,0.07868114113807678,300
1368988740.0,1368988772.0,E:\o4a\1368973312\H1_1368985600_1368989696.hdf5,1368985600.0,1368989696.0,H1,O4a,0.0586169995367527,300
1368988804.0,1368988836.0,E:\o4a\1368973312\H1_1368985600_1368989696.hdf5,1368985600.0,1368989696.0,H1,O4a,0.0631791278719902,300
1368988868.0,1368988900.0,E:\o4a\1368973312\H1_1368985600_1368989696.hdf5,1368985600.0,1368989696.0,H1,O4a,0.06381292641162872,300
1368988932.0,1368988964.0,E:\o4a\1368973312\H1_1368985600_1368989696.hdf5,1368985600.0,1368989696.0,H1,O4a,0.05634712800383568,300
