gps_start,detector,session_id,origin_table,local_cluster_id,global_family_id,max_similarity_to_3a,transitivity_status,gravity_spy_label,gravity_spy_confidence,robustness_class_idxq4_64_queryq4_64,native_score_idxq4_64_queryq4_64,robustness_class,native_o4a_score
1369225052.0,L1,1368973312,3a,C0,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,BACKGROUND,0.0742168724536895,BACKGROUND,0.0742168724536895
1369225116.0,L1,1368973312,3a,C12,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,BACKGROUND,0.1179103553295135,BACKGROUND,0.1179103553295135
1369225404.0,L1,1368973312,3a,C3,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,BACKGROUND,0.1480163931846618,BACKGROUND,0.1480163931846618
1369225564.0,L1,1368973312,3a,C0,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,BACKGROUND,0.0734077468514442,BACKGROUND,0.0734077468514442
1369225724.0,H1,1368973312,3a,C2,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,ROBUST,0.4452657699584961,ROBUST,0.4452657699584961
1369227228.0,L1,1368973312,3a,C13,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,AMBIGUOUS,0.1844842880964279,AMBIGUOUS,0.1844842880964279
1369229084.0,H1,1368973312,3a,C4,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,ROBUST,0.2674648463726043,ROBUST,0.2674648463726043
1369229116.0,L1,1368973312,3a,C2,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,BACKGROUND,0.0707668960094451,BACKGROUND,0.0707668960094451
1369229468.0,L1,1368973312,3a,C12,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,BACKGROUND,0.1408355683088302,BACKGROUND,0.1408355683088302
1369230492.0,L1,1368973312,3a,C12,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,BACKGROUND,0.1116509288549423,BACKGROUND,0.1116509288549423
