candidate_id,gps_start,detector,legacy_class,score,class,variant
1374711324.0_L1,1374711324.0,L1,AMBIGUOUS,0.1774023622274398,AMBIGUOUS,idxq4-64_queryq4-64
1374725692.0_L1,1374725692.0,L1,AMBIGUOUS,0.1992336511611938,AMBIGUOUS,idxq4-64_queryq4-64
1374725788.0_L1,1374725788.0,L1,ROBUST,0.4203429818153381,ROBUST,idxq4-64_queryq4-64
1374726044.0_L1,1374726044.0,L1,ROBUST,0.2302274852991104,ROBUST,idxq4-64_queryq4-64
1374726268.0_H1,1374726268.0,H1,ROBUST,0.243875116109848,ROBUST,idxq4-64_queryq4-64
1374726460.0_L1,1374726460.0,L1,BACKGROUND,0.0945964828133583,BACKGROUND,idxq4-64_queryq4-64
1374728476.0_H1,1374728476.0,H1,BACKGROUND,0.1184816360473632,BACKGROUND,idxq4-64_queryq4-64
1374730876.0_L1,1374730876.0,L1,ROBUST,0.4497325420379638,ROBUST,idxq4-64_queryq4-64
1374731068.0_L1,1374731068.0,L1,ROBUST,0.2843502759933471,ROBUST,idxq4-64_queryq4-64
1374733056.0_H1,1374733056.0,H1,ROBUST,0.4198302328586578,ROBUST,idxq4-64_queryq4-64
1374733724.0_H1,1374733724.0,H1,ROBUST,0.4611612260341644,ROBUST,idxq4-64_queryq4-64
1374738684.0_L1,1374738684.0,L1,BACKGROUND,0.0764248073101043,BACKGROUND,idxq4-64_queryq4-64
1374741248.0_L1,1374741248.0,L1,BACKGROUND,0.0512439347803592,BACKGROUND,idxq4-64_queryq4-64
1374742172.0_L1,1374742172.0,L1,BACKGROUND,0.0923775285482406,BACKGROUND,idxq4-64_queryq4-64
1374742908.0_H1,1374742908.0,H1,AMBIGUOUS,0.1371354013681411,AMBIGUOUS,idxq4-64_queryq4-64
1374743580.0_L1,1374743580.0,L1,ROBUST,0.4324943423271179,ROBUST,idxq4-64_queryq4-64
1374744668.0_L1,1374744668.0,L1,ROBUST,0.4437491595745086,ROBUST,idxq4-64_queryq4-64
1374752380.0_H1,1374752380.0,H1,ROBUST,0.4389146864414215,ROBUST,idxq4-64_queryq4-64
1374752732.0_L1,1374752732.0,L1,ROBUST,0.40561044216156,ROBUST,idxq4-64_queryq4-64
1374753212.0_H1,1374753212.0,H1,BACKGROUND,0.1055401191115379,BACKGROUND,idxq4-64_queryq4-64
1374755612.0_H1,1374755612.0,H1,ROBUST,0.4412566423416137,ROBUST,idxq4-64_queryq4-64
1374756764.0_L1,1374756764.0,L1,ROBUST,0.3611672222614288,ROBUST,idxq4-64_queryq4-64
1374761020.0_H1,1374761020.0,H1,ROBUST,0.4289271533489227,ROBUST,idxq4-64_queryq4-64
1374761212.0_H1,1374761212.0,H1,ROBUST,0.4691522419452667,ROBUST,idxq4-64_queryq4-64
1374764380.0_L1,1374764380.0,L1,AMBIGUOUS,0.1849401146173477,AMBIGUOUS,idxq4-64_queryq4-64
1374765340.0_L1,1374765340.0,L1,ROBUST,0.4524113237857818,ROBUST,idxq4-64_queryq4-64
1374765596.0_H1,1374765596.0,H1,AMBIGUOUS,0.1306124776601791,AMBIGUOUS,idxq4-64_queryq4-64
1374766044.0_L1,1374766044.0,L1,ROBUST,0.4355877935886383,ROBUST,idxq4-64_queryq4-64
1374768252.0_H1,1374768252.0,H1,ROBUST,0.4215781986713409,ROBUST,idxq4-64_queryq4-64
1374768444.0_H1,1374768444.0,H1,AMBIGUOUS,0.134128525853157,AMBIGUOUS,idxq4-64_queryq4-64
1374770812.0_L1,1374770812.0,L1,AMBIGUOUS,0.1823276430368423,AMBIGUOUS,idxq4-64_queryq4-64
1374771548.0_L1,1374771548.0,L1,ROBUST,0.4485345780849457,ROBUST,idxq4-64_queryq4-64
1374784636.0_L1,1374784636.0,L1,BACKGROUND,0.1243868172168731,BACKGROUND,idxq4-64_queryq4-64
1374785372.0_L1,1374785372.0,L1,ROBUST,0.4200178980827331,ROBUST,idxq4-64_queryq4-64
1374785532.0_L1,1374785532.0,L1,ROBUST,0.4479710757732391,ROBUST,idxq4-64_queryq4-64
1374786140.0_L1,1374786140.0,L1,ROBUST,0.4958861768245697,ROBUST,idxq4-64_queryq4-64
1374786556.0_L1,1374786556.0,L1,ROBUST,0.4587757587432861,ROBUST,idxq4-64_queryq4-64
1374787900.0_L1,1374787900.0,L1,ROBUST,0.4289740920066833,ROBUST,idxq4-64_queryq4-64
1374791900.0_H1,1374791900.0,H1,BACKGROUND,0.1090693771839141,BACKGROUND,idxq4-64_queryq4-64
1374794300.0_L1,1374794300.0,L1,ROBUST,0.4720945358276367,ROBUST,idxq4-64_queryq4-64
1374796476.0_L1,1374796476.0,L1,ROBUST,0.4436109364032745,ROBUST,idxq4-64_queryq4-64
1374798140.0_L1,1374798140.0,L1,BACKGROUND,0.1057102158665657,BACKGROUND,idxq4-64_queryq4-64
1374798940.0_L1,1374798940.0,L1,ROBUST,0.4990385770797729,ROBUST,idxq4-64_queryq4-64
1374801340.0_H1,1374801340.0,H1,BACKGROUND,0.1170846447348594,BACKGROUND,idxq4-64_queryq4-64
1374801404.0_H1,1374801404.0,H1,BACKGROUND,0.1190843284130096,BACKGROUND,idxq4-64_queryq4-64
1374801564.0_H1,1374801564.0,H1,ROBUST,0.4396869540214538,ROBUST,idxq4-64_queryq4-64
1374802076.0_L1,1374802076.0,L1,ROBUST,0.458242267370224,ROBUST,idxq4-64_queryq4-64
1374807484.0_H1,1374807484.0,H1,BACKGROUND,0.1247845664620399,BACKGROUND,idxq4-64_queryq4-64
1374808156.0_H1,1374808156.0,H1,ROBUST,0.4553764164447784,ROBUST,idxq4-64_queryq4-64
1374808700.0_L1,1374808700.0,L1,BACKGROUND,0.0986780151724815,BACKGROUND,idxq4-64_queryq4-64
1374809244.0_L1,1374809244.0,L1,ROBUST,0.4678370058536529,ROBUST,idxq4-64_queryq4-64
1374812924.0_L1,1374812924.0,L1,ROBUST,0.4613970518112182,ROBUST,idxq4-64_queryq4-64
1374813212.0_H1,1374813212.0,H1,AMBIGUOUS,0.1317396163940429,AMBIGUOUS,idxq4-64_queryq4-64
1374813500.0_L1,1374813500.0,L1,ROBUST,0.4670139849185943,ROBUST,idxq4-64_queryq4-64
1374814876.0_H1,1374814876.0,H1,BACKGROUND,0.118766613304615,BACKGROUND,idxq4-64_queryq4-64
1374815100.0_L1,1374815100.0,L1,ROBUST,0.4393759667873382,ROBUST,idxq4-64_queryq4-64
1374817660.0_L1,1374817660.0,L1,ROBUST,0.4340322017669678,ROBUST,idxq4-64_queryq4-64
1374832700.0_H1,1374832700.0,H1,BACKGROUND,0.1255751848220825,BACKGROUND,idxq4-64_queryq4-64
1374832860.0_L1,1374832860.0,L1,ROBUST,0.4360314905643463,ROBUST,idxq4-64_queryq4-64
1374834300.0_H1,1374834300.0,H1,ROBUST,0.3987486660480499,ROBUST,idxq4-64_queryq4-64
1374877884.0_H1,1374877884.0,H1,ROBUST,0.4178000688552856,ROBUST,idxq4-64_queryq4-64
1374879196.0_L1,1374879196.0,L1,ROBUST,0.2373090088367462,ROBUST,idxq4-64_queryq4-64
1374880604.0_L1,1374880604.0,L1,ROBUST,0.482677012681961,ROBUST,idxq4-64_queryq4-64
1374881980.0_L1,1374881980.0,L1,AMBIGUOUS,0.2066019624471664,AMBIGUOUS,idxq4-64_queryq4-64
1374881980.0_H1,1374881980.0,H1,BACKGROUND,0.12552283704280853,BACKGROUND,idxq4-64_queryq4-64
1374882428.0_L1,1374882428.0,L1,ROBUST,0.4317672550678253,ROBUST,idxq4-64_queryq4-64
1374887068.0_H1,1374887068.0,H1,ROBUST,0.4488306045532226,ROBUST,idxq4-64_queryq4-64
1374887484.0_L1,1374887484.0,L1,ROBUST,0.4123974442481994,ROBUST,idxq4-64_queryq4-64
1374887516.0_L1,1374887516.0,L1,BACKGROUND,0.0899609997868537,BACKGROUND,idxq4-64_queryq4-64
1374887996.0_L1,1374887996.0,L1,BACKGROUND,0.1487342864274978,BACKGROUND,idxq4-64_queryq4-64
1374889756.0_L1,1374889756.0,L1,ROBUST,0.2601395845413208,ROBUST,idxq4-64_queryq4-64
1374889980.0_L1,1374889980.0,L1,ROBUST,0.4123561680316925,ROBUST,idxq4-64_queryq4-64
1374893500.0_L1,1374893500.0,L1,ROBUST,0.4754271805286407,ROBUST,idxq4-64_queryq4-64
1374899196.0_L1,1374899196.0,L1,ROBUST,0.4465339183807373,ROBUST,idxq4-64_queryq4-64
