gps_start,analysis_start,detector,pad_s,score,stored_pad4_score,pad4_anchor_abs_delta,fixed_pad4_threshold_class,pad_specific_threshold_class,pad_specific_ci_lower,pad_specific_ci_upper,representation
1389072700,1389072704.0,H1,4.0,0.20525051653385162,0.2052503824234008,1.3411045082789563e-07,ROBUST,ROBUST,0.13023118793964325,0.2040884156525078,idxq4-64_queryq4-64
1389072700,1389072704.0,H1,16.0,0.21080486476421356,0.2052503824234008,,ROBUST,AMBIGUOUS,0.12798184379935182,0.21352421537041372,idxq4-64_queryq4-64
1389072700,1389072704.0,H1,64.0,0.20856209099292755,0.2052503824234008,,ROBUST,AMBIGUOUS,0.13209254726767536,0.2630360516905726,idxq4-64_queryq4-64
1389072700,1389072704.0,H1,128.0,0.2053108513355255,0.2052503824234008,,ROBUST,AMBIGUOUS,0.1436650867760179,0.33834537237881496,idxq4-64_queryq4-64
1389294332,1389294336.0,H1,4.0,0.2056477814912796,0.2056476026773452,1.788139344094386e-07,ROBUST,ROBUST,0.13023118793964325,0.2040884156525078,idxq4-64_queryq4-64
1389294332,1389294336.0,H1,16.0,0.21010367572307587,0.2056476026773452,,ROBUST,AMBIGUOUS,0.12798184379935182,0.21352421537041372,idxq4-64_queryq4-64
1389294332,1389294336.0,H1,64.0,0.21511925756931305,0.2056476026773452,,ROBUST,AMBIGUOUS,0.13209254726767536,0.2630360516905726,idxq4-64_queryq4-64
1389294332,1389294336.0,H1,128.0,0.21574808657169342,0.2056476026773452,,ROBUST,AMBIGUOUS,0.1436650867760179,0.33834537237881496,idxq4-64_queryq4-64
1383439900,1383439904.0,H1,4.0,0.20569424331188202,0.2056944817304611,2.3841857907380692e-07,ROBUST,ROBUST,0.13023118793964325,0.2040884156525078,idxq4-64_queryq4-64
1383439900,1383439904.0,H1,16.0,0.1817176192998886,0.2056944817304611,,AMBIGUOUS,AMBIGUOUS,0.12798184379935182,0.21352421537041372,idxq4-64_queryq4-64
1383439900,1383439904.0,H1,64.0,0.18446674942970276,0.2056944817304611,,AMBIGUOUS,AMBIGUOUS,0.13209254726767536,0.2630360516905726,idxq4-64_queryq4-64
1383439900,1383439904.0,H1,128.0,0.184092178940773,0.2056944817304611,,AMBIGUOUS,AMBIGUOUS,0.1436650867760179,0.33834537237881496,idxq4-64_queryq4-64
1381337372,1381337376.0,H1,4.0,0.2059471756219864,0.2059470266103744,1.4901161199398771e-07,ROBUST,ROBUST,0.13023118793964325,0.2040884156525078,idxq4-64_queryq4-64
1381337372,1381337376.0,H1,16.0,0.1866353303194046,0.2059470266103744,,AMBIGUOUS,AMBIGUOUS,0.12798184379935182,0.21352421537041372,idxq4-64_queryq4-64
1381337372,1381337376.0,H1,64.0,0.18677644431591034,0.2059470266103744,,AMBIGUOUS,AMBIGUOUS,0.13209254726767536,0.2630360516905726,idxq4-64_queryq4-64
1381337372,1381337376.0,H1,128.0,0.18190377950668335,0.2059470266103744,,AMBIGUOUS,AMBIGUOUS,0.1436650867760179,0.33834537237881496,idxq4-64_queryq4-64
1383923772,1383923776.0,H1,4.0,0.20618142187595367,0.2061814218759536,8.326672684688674e-17,ROBUST,ROBUST,0.13023118793964325,0.2040884156525078,idxq4-64_queryq4-64
1383923772,1383923776.0,H1,16.0,0.1937715858221054,0.2061814218759536,,AMBIGUOUS,AMBIGUOUS,0.12798184379935182,0.21352421537041372,idxq4-64_queryq4-64
