shift_id,offset_s,covered_any,covered_both,overlap_any,overlap_both
363,1867559.5302791204,108,75,2,0
364,13446024.447289024,112,78,4,0
365,8587329.92913071,103,71,4,0
366,15811009.590442095,118,76,3,0
367,13717499.048905576,106,75,3,0
368,6861782.1410265295,111,73,3,0
369,18330068.497199122,118,86,0,0
370,15571597.82985198,103,77,1,0
371,5580315.366027485,114,76,1,0
372,7482265.820107764,114,70,1,0
373,6471921.34199609,114,78,3,0
374,3287114.315617043,107,70,2,0
375,3087525.6162378113,119,78,3,0
376,19096902.07524926,119,86,1,0
377,8979180.025817402,116,86,3,0
378,7870705.633034528,115,72,3,0
379,14904565.49753672,114,73,2,0
380,11316361.97192979,110,78,3,0
381,19097156.396720756,120,84,3,0
382,15932450.617714373,103,66,4,0
383,9821245.360415516,115,76,2,0
384,7729357.643659227,106,70,0,0
385,20122518.761705164,116,84,5,0
386,14662387.76866759,115,77,1,0
387,19402880.677494004,115,66,1,0
388,2492415.554692789,109,67,0,0
389,17358697.743534736,109,62,3,0
390,13023841.606539847,113,78,3,0
391,2562336.674958132,117,83,5,0
392,12032508.160174945,111,74,2,0
393,14019370.544015411,114,79,3,0
394,336238.023951391,112,83,0,0
395,9312507.441897452,116,66,0,0
396,16848283.11357041,114,79,2,0
397,6084432.94307764,116,75,3,0
398,9398411.025932256,112,74,2,0
399,9068738.366843948,115,74,2,0
400,6217820.694457542,111,73,2,0
401,18737750.63737167,115,72,2,0
402,15952606.753929053,102,64,1,0
403,2332185.2151446138,116,80,3,0
404,20333781.0175023,107,75,2,0
405,17940842.41363197,110,72,0,0
406,5851898.992767758,109,73,0,0
407,17081760.981122468,118,79,0,0
408,2247525.2854312947,115,69,1,0
409,20375819.22457865,114,83,3,0
410,13604859.346957108,111,78,1,0
411,13288878.765961826,115,87,3,0
412,1923034.1073029742,115,74,1,0
413,18302995.451433107,113,90,2,0
414,675310.3112750832,112,79,4,0
415,4977039.871476398,109,69,2,0
416,2990831.032133957,111,61,3,0
417,15860692.632401297,117,79,1,0
418,4111452.164548645,99,66,2,0
419,18579276.861283164,109,71,0,0
420,13413649.14304694,110,79,6,0
421,820777.8596420928,118,78,0,0
422,196666.89955199749,111,63,0,0
423,1135448.3155616075,110,79,3,0
424,12391286.137598995,109,74,2,0
425,16362572.02220866,114,73,2,1
426,4930835.2601727545,111,84,2,0
427,17335855.018544596,117,86,2,0
428,1248643.3478563507,110,79,4,1
429,16352053.554213705,109,74,3,0
430,18927698.4777666,116,67,3,0
431,15766068.525652118,108,73,3,0
432,14263557.632724572,111,73,1,0
433,17103767.088366058,118,81,5,0
434,901776.530682006,107,72,5,1
435,4184110.391638289,107,69,2,0
436,2623300.1098672776,103,81,0,0
437,10332213.536443094,107,68,2,0
438,15219382.434850844,106,78,1,0
439,12880428.534919674,111,76,3,0
440,17370829.92152547,110,76,1,0
441,3238403.3652966972,109,71,2,0
442,15004791.286582487,105,65,2,0
443,4006609.379969357,109,78,3,0
444,5584860.41826136,109,74,1,0
445,14502860.630509807,114,70,0,0
446,19992006.68980847,114,83,2,0
447,12505382.932739938,104,72,1,0
448,1193170.5967172345,107,74,3,0
449,12602156.037700366,112,82,2,0
450,946438.0612694013,120,89,1,0
451,18041277.448152777,112,85,2,0
452,14496231.982509365,114,66,1,0
453,3602211.0540096266,107,64,1,0
454,1949033.4978754846,118,83,2,0
455,3813519.3988099657,111,75,6,0
456,19988399.95151472,117,88,2,0
457,9398666.102790028,112,73,0,0
458,16009202.266537976,103,72,0,0
459,13010326.04818789,108,80,5,0
460,11710737.284100024,111,71,2,0
461,3033647.1596359634,121,76,3,0
462,19297886.193076372,114,78,2,0
463,6205945.644055886,106,69,0,0
464,11824542.411733244,117,76,3,0
465,14297169.972336918,112,70,2,0
466,13270767.223459635,114,85,3,0
467,19187615.03433271,117,81,2,0
