selection_ordinal,gps_start,gps_end,source_path,source_start,source_end,detector,run,calibration_score,bootstrap_block_index,sampling_strategy
37,1369221828.0,1369221860.0,E:\o4a\1368973312\H1_1369219072_1369223168.hdf5,1369219072.0,1369223168.0,H1,O4a,0.0999719873070716,331,run_spanning_complete_raw_blocks_within_block_even_spacing
38,1369222212.0,1369222244.0,E:\o4a\1368973312\H1_1369219072_1369223168.hdf5,1369219072.0,1369223168.0,H1,O4a,0.0641353279352188,331,run_spanning_complete_raw_blocks_within_block_even_spacing
39,1369222596.0,1369222628.0,E:\o4a\1368973312\H1_1369219072_1369223168.hdf5,1369219072.0,1369223168.0,H1,O4a,0.0632853955030441,331,run_spanning_complete_raw_blocks_within_block_even_spacing
40,1369256708.0,1369256740.0,E:\o4a\1368973312\H1_1369255936_1369260032.hdf5,1369255936.0,1369260032.0,H1,O4a,0.0774322673678398,343,run_spanning_complete_raw_blocks_within_block_even_spacing
41,1369256900.0,1369256932.0,E:\o4a\1368973312\H1_1369255936_1369260032.hdf5,1369255936.0,1369260032.0,H1,O4a,0.0697683840990066,343,run_spanning_complete_raw_blocks_within_block_even_spacing
42,1369257156.0,1369257188.0,E:\o4a\1368973312\H1_1369255936_1369260032.hdf5,1369255936.0,1369260032.0,H1,O4a,0.0500396974384784,343,run_spanning_complete_raw_blocks_within_block_even_spacing
43,1369257412.0,1369257444.0,E:\o4a\1368973312\H1_1369255936_1369260032.hdf5,1369255936.0,1369260032.0,H1,O4a,0.0608622133731842,343,run_spanning_complete_raw_blocks_within_block_even_spacing
44,1369257604.0,1369257636.0,E:\o4a\1368973312\H1_1369255936_1369260032.hdf5,1369255936.0,1369260032.0,H1,O4a,0.0559397675096988,343,run_spanning_complete_raw_blocks_within_block_even_spacing
45,1369258372.0,1369258404.0,E:\o4a\1368973312\H1_1369255936_1369260032.hdf5,1369255936.0,1369260032.0,H1,O4a,0.0620697736740112,344,run_spanning_complete_raw_blocks_within_block_even_spacing
46,1369258628.0,1369258660.0,E:\o4a\1368973312\H1_1369255936_1369260032.hdf5,1369255936.0,1369260032.0,H1,O4a,0.0661524534225463,344,run_spanning_complete_raw_blocks_within_block_even_spacing
47,1369258820.0,1369258852.0,E:\o4a\1368973312\H1_1369255936_1369260032.hdf5,1369255936.0,1369260032.0,H1,O4a,0.0704152286052703,344,run_spanning_complete_raw_blocks_within_block_even_spacing
48,1369259076.0,1369259108.0,E:\o4a\1368973312\H1_1369255936_1369260032.hdf5,1369255936.0,1369260032.0,H1,O4a,0.0718935132026672,344,run_spanning_complete_raw_blocks_within_block_even_spacing
49,1369259332.0,1369259364.0,E:\o4a\1368973312\H1_1369255936_1369260032.hdf5,1369255936.0,1369260032.0,H1,O4a,0.064991109073162,344,run_spanning_complete_raw_blocks_within_block_even_spacing
50,1369284740.0,1369284772.0,E:\o4a\1368973312\H1_1369284608_1369288704.hdf5,1369284608.0,1369288704.0,H1,O4a,0.0621669143438339,352,run_spanning_complete_raw_blocks_within_block_even_spacing
51,1369284804.0,1369284836.0,E:\o4a\1368973312\H1_1369284608_1369288704.hdf5,1369284608.0,1369288704.0,H1,O4a,0.0584474802017211,352,run_spanning_complete_raw_blocks_within_block_even_spacing
