candidate_key,gps_start,detector,robustness_class_idxq4_64_queryq4_64,native_score_idxq4_64_queryq4_64,autoencoder_percentile_mean,autoencoder_percentile_seed_42,autoencoder_mse_seed_42,autoencoder_percentile_seed_314159,autoencoder_mse_seed_314159,autoencoder_percentile_seed_271828,autoencoder_mse_seed_271828
H1:1374064540,1374064540.0,H1,ROBUST,0.2065671235322952,0.4885496183206108,0.549618320610687,0.9165463447570801,0.4732824427480916,0.8883123993873596,0.44274809160305345,0.884326159954071
H1:1378490076,1378490076.0,H1,ROBUST,0.2066894322633743,0.8498727735368957,0.8473282442748091,1.0127184391021729,0.8320610687022901,0.999801754951477,0.8702290076335878,1.0218855142593384
H1:1368994780,1368994780.0,H1,ROBUST,0.206779196858406,0.89058524173028,0.8625954198473282,1.0259153842926025,0.916030534351145,1.0283606052398682,0.8931297709923665,1.0413827896118164
H1:1377757884,1377757884.0,H1,ROBUST,0.2068425118923187,0.9491094147582698,0.916030534351145,1.0443180799484253,0.9618320610687023,1.1201701164245605,0.9694656488549618,1.1316264867782593
H1:1370289628,1370289628.0,H1,ROBUST,0.2073927521705627,0.1450381679389313,0.12213740458015267,0.7842788696289062,0.16793893129770993,0.8045494556427002,0.1450381679389313,0.7954049110412598
H1:1382096828,1382096828.0,H1,ROBUST,0.2075165659189224,0.9567430025445293,0.9694656488549618,1.1032450199127197,0.9389312977099237,1.050167202949524,0.9618320610687023,1.0988444089889526
H1:1387081468,1387081468.0,H1,ROBUST,0.2078082263469696,0.26463104325699743,0.2824427480916031,0.8362432718276978,0.22137404580152673,0.8178013563156128,0.2900763358778626,0.8279056549072266
H1:1381853148,1381853148.0,H1,ROBUST,0.2078990340232849,0.8702290076335878,0.8473282442748091,1.013698935508728,0.8854961832061069,1.013501763343811,0.8778625954198473,1.030510663986206
H1:1383817468,1383817468.0,H1,ROBUST,0.2080277055501938,0.6513994910941476,0.6259541984732825,0.9375560283660889,0.648854961832061,0.9371368885040283,0.6793893129770993,0.9583137631416321
H1:1374633724,1374633724.0,H1,ROBUST,0.2082558274269104,0.9872773536895675,0.9847328244274809,1.276806116104126,0.9923664122137404,1.2760653495788574,0.9847328244274809,1.2972204685211182
H1:1384843324,1384843324.0,H1,ROBUST,0.2085751891136169,0.9669211195928753,0.9694656488549618,1.1105611324310303,0.9618320610687023,1.11519193649292,0.9694656488549618,1.1221915483474731
H1:1388983772,1388983772.0,H1,ROBUST,0.2086841166019439,0.9236641221374047,0.916030534351145,1.0424103736877441,0.9389312977099237,1.0428831577301025,0.916030534351145,1.052532434463501
H1:1378651900,1378651900.0,H1,ROBUST,0.2087671011686325,0.07124681933842239,0.05343511450381679,0.7552903890609741,0.0916030534351145,0.7772758603096008,0.06870229007633588,0.7617138028144836
H1:1382683164,1382683164.0,H1,ROBUST,0.2092533707618713,0.43256997455470736,0.35877862595419846,0.8656424283981323,0.4580152671755725,0.8832172155380249,0.48091603053435117,0.9019309878349304
H1:1378795996,1378795996.0,H1,ROBUST,0.2092803567647934,0.6895674300254453,0.7175572519083969,0.9621514678001404,0.6641221374045801,0.9458330869674683,0.6870229007633588,0.9619895815849304
H1:1382559932,1382559932.0,H1,ROBUST,0.2095967978239059,0.2748091603053435,0.22137404580152673,0.8167937994003296,0.2900763358778626,0.8327097296714783,0.31297709923664124,0.846113383769989
H1:1381680444,1381680444.0,H1,ROBUST,0.2096303105354309,0.9847328244274808,0.9847328244274809,1.2217590808868408,0.9923664122137404,1.2163348197937012,0.9770992366412213,1.224104642868042
H1:1369441596,1369441596.0,H1,ROBUST,0.210274800658226,0.9847328244274808,0.9847328244274809,1.2279908657073975,0.9923664122137404,1.2217128276824951,0.9770992366412213,1.1908594369888306
H1:1388330204,1388330204.0,H1,ROBUST,0.2102764993906021,0.7353689567430025,0.7404580152671756,0.9747345447540283,0.7404580152671756,0.9667725563049316,0.7251908396946565,0.9708908200263977
H1:1382519772,1382519772.0,H1,ROBUST,0.210371047258377,0.13994910941475827,0.1450381679389313,0.792793869972229,0.13740458015267176,0.7946804761886597,0.13740458015267176,0.7882282733917236
