gps_start,gps_end,source_path,source_start,source_end,detector,run,calibration_score,bootstrap_block_index
1368984580.0,1368984612.0,E:\o4a\1368973312\L1_1368981504_1368985600.hdf5,1368981504.0,1368985600.0,L1,O4a,0.06020388752222061,300
1368984644.0,1368984676.0,E:\o4a\1368973312\L1_1368981504_1368985600.hdf5,1368981504.0,1368985600.0,L1,O4a,0.08039092272520065,300
1368984708.0,1368984740.0,E:\o4a\1368973312\L1_1368981504_1368985600.hdf5,1368981504.0,1368985600.0,L1,O4a,0.1066138744354248,300
1368984772.0,1368984804.0,E:\o4a\1368973312\L1_1368981504_1368985600.hdf5,1368981504.0,1368985600.0,L1,O4a,0.06029698625206947,300
1368984836.0,1368984868.0,E:\o4a\1368973312\L1_1368981504_1368985600.hdf5,1368981504.0,1368985600.0,L1,O4a,0.05460776388645172,300
1368984900.0,1368984932.0,E:\o4a\1368973312\L1_1368981504_1368985600.hdf5,1368981504.0,1368985600.0,L1,O4a,0.0553688146173954,300
1368984964.0,1368984996.0,E:\o4a\1368973312\L1_1368981504_1368985600.hdf5,1368981504.0,1368985600.0,L1,O4a,0.057923730462789536,300
1368985028.0,1368985060.0,E:\o4a\1368973312\L1_1368981504_1368985600.hdf5,1368981504.0,1368985600.0,L1,O4a,0.05871574208140373,300
1368985092.0,1368985124.0,E:\o4a\1368973312\L1_1368981504_1368985600.hdf5,1368981504.0,1368985600.0,L1,O4a,0.06698371469974518,300
1368985156.0,1368985188.0,E:\o4a\1368973312\L1_1368981504_1368985600.hdf5,1368981504.0,1368985600.0,L1,O4a,0.06724468618631363,300
1368985220.0,1368985252.0,E:\o4a\1368973312\L1_1368981504_1368985600.hdf5,1368981504.0,1368985600.0,L1,O4a,0.06097908690571785,300
1368985604.0,1368985636.0,E:\o4a\1368973312\L1_1368985600_1368989696.hdf5,1368985600.0,1368989696.0,L1,O4a,0.05891437456011772,301
1368985668.0,1368985700.0,E:\o4a\1368973312\L1_1368985600_1368989696.hdf5,1368985600.0,1368989696.0,L1,O4a,0.0646987110376358,301
1368985732.0,1368985764.0,E:\o4a\1368973312\L1_1368985600_1368989696.hdf5,1368985600.0,1368989696.0,L1,O4a,0.06147606298327446,301
1368985796.0,1368985828.0,E:\o4a\1368973312\L1_1368985600_1368989696.hdf5,1368985600.0,1368989696.0,L1,O4a,0.060666490346193314,301
1368985860.0,1368985892.0,E:\o4a\1368973312\L1_1368985600_1368989696.hdf5,1368985600.0,1368989696.0,L1,O4a,0.05879007652401924,301
1368985924.0,1368985956.0,E:\o4a\1368973312\L1_1368985600_1368989696.hdf5,1368985600.0,1368989696.0,L1,O4a,0.07051567733287811,301
