selection_ordinal,gps_start,gps_end,source_path,source_start,source_end,detector,run,calibration_score,bootstrap_block_index,sampling_strategy
36,1369045252.0,1369045284.0,E:\o4a\1368973312\L1_1369042944_1369047040.hdf5,1369042944.0,1369047040.0,L1,O4a,0.0692680701613426,328,run_spanning_complete_raw_blocks_within_block_even_spacing
37,1369045444.0,1369045476.0,E:\o4a\1368973312\L1_1369042944_1369047040.hdf5,1369042944.0,1369047040.0,L1,O4a,0.055943738669157,328,run_spanning_complete_raw_blocks_within_block_even_spacing
38,1369045700.0,1369045732.0,E:\o4a\1368973312\L1_1369042944_1369047040.hdf5,1369042944.0,1369047040.0,L1,O4a,0.0516029074788093,328,run_spanning_complete_raw_blocks_within_block_even_spacing
39,1369045956.0,1369045988.0,E:\o4a\1368973312\L1_1369042944_1369047040.hdf5,1369042944.0,1369047040.0,L1,O4a,0.0587159842252731,328,run_spanning_complete_raw_blocks_within_block_even_spacing
40,1369199620.0,1369199652.0,E:\o4a\1368973312\L1_1369198592_1369202688.hdf5,1369198592.0,1369202688.0,L1,O4a,0.0568675883114337,4,run_spanning_complete_raw_blocks_within_block_even_spacing
41,1369199684.0,1369199716.0,E:\o4a\1368973312\L1_1369198592_1369202688.hdf5,1369198592.0,1369202688.0,L1,O4a,0.063809648156166,4,run_spanning_complete_raw_blocks_within_block_even_spacing
42,1369199812.0,1369199844.0,E:\o4a\1368973312\L1_1369198592_1369202688.hdf5,1369198592.0,1369202688.0,L1,O4a,0.0605963319540023,4,run_spanning_complete_raw_blocks_within_block_even_spacing
43,1369199940.0,1369199972.0,E:\o4a\1368973312\L1_1369198592_1369202688.hdf5,1369198592.0,1369202688.0,L1,O4a,0.0770778134465217,4,run_spanning_complete_raw_blocks_within_block_even_spacing
44,1369200068.0,1369200100.0,E:\o4a\1368973312\L1_1369198592_1369202688.hdf5,1369198592.0,1369202688.0,L1,O4a,0.0550939477980136,4,run_spanning_complete_raw_blocks_within_block_even_spacing
45,1369200132.0,1369200164.0,E:\o4a\1368973312\L1_1369198592_1369202688.hdf5,1369198592.0,1369202688.0,L1,O4a,0.0559783019125461,4,run_spanning_complete_raw_blocks_within_block_even_spacing
46,1369200260.0,1369200292.0,E:\o4a\1368973312\L1_1369198592_1369202688.hdf5,1369198592.0,1369202688.0,L1,O4a,0.0626856610178947,4,run_spanning_complete_raw_blocks_within_block_even_spacing
47,1369200388.0,1369200420.0,E:\o4a\1368973312\L1_1369198592_1369202688.hdf5,1369198592.0,1369202688.0,L1,O4a,0.0709723755717277,4,run_spanning_complete_raw_blocks_within_block_even_spacing
48,1369200516.0,1369200548.0,E:\o4a\1368973312\L1_1369198592_1369202688.hdf5,1369198592.0,1369202688.0,L1,O4a,0.0542135648429393,4,run_spanning_complete_raw_blocks_within_block_even_spacing
49,1369200644.0,1369200676.0,E:\o4a\1368973312\L1_1369198592_1369202688.hdf5,1369198592.0,1369202688.0,L1,O4a,0.0628939345479011,4,run_spanning_complete_raw_blocks_within_block_even_spacing
50,1369425348.0,1369425380.0,E:\o4a\1368973312\L1_1369423872_1369427968.hdf5,1369423872.0,1369427968.0,L1,O4a,0.0610289722681045,8,run_spanning_complete_raw_blocks_within_block_even_spacing
51,1369425412.0,1369425444.0,E:\o4a\1368973312\L1_1369423872_1369427968.hdf5,1369423872.0,1369427968.0,L1,O4a,0.0589765384793281,8,run_spanning_complete_raw_blocks_within_block_even_spacing
52,1369425540.0,1369425572.0,E:\o4a\1368973312\L1_1369423872_1369427968.hdf5,1369423872.0,1369427968.0,L1,O4a,0.06198750436306,8,run_spanning_complete_raw_blocks_within_block_even_spacing
53,1369425668.0,1369425700.0,E:\o4a\1368973312\L1_1369423872_1369427968.hdf5,1369423872.0,1369427968.0,L1,O4a,0.0528222061693668,8,run_spanning_complete_raw_blocks_within_block_even_spacing
54,1369425796.0,1369425828.0,E:\o4a\1368973312\L1_1369423872_1369427968.hdf5,1369423872.0,1369427968.0,L1,O4a,0.0524717085063457,8,run_spanning_complete_raw_blocks_within_block_even_spacing
55,1369425860.0,1369425892.0,E:\o4a\1368973312\L1_1369423872_1369427968.hdf5,1369423872.0,1369427968.0,L1,O4a,0.0532733164727687,8,run_spanning_complete_raw_blocks_within_block_even_spacing
56,1369425988.0,1369426020.0,E:\o4a\1368973312\L1_1369423872_1369427968.hdf5,1369423872.0,1369427968.0,L1,O4a,0.0590436123311519,8,run_spanning_complete_raw_blocks_within_block_even_spacing
57,1369426116.0,1369426148.0,E:\o4a\1368973312\L1_1369423872_1369427968.hdf5,1369423872.0,1369427968.0,L1,O4a,0.1153661087155342,8,run_spanning_complete_raw_blocks_within_block_even_spacing
58,1369426244.0,1369426276.0,E:\o4a\1368973312\L1_1369423872_1369427968.hdf5,1369423872.0,1369427968.0,L1,O4a,0.0614457428455352,8,run_spanning_complete_raw_blocks_within_block_even_spacing
59,1369426372.0,1369426404.0,E:\o4a\1368973312\L1_1369423872_1369427968.hdf5,1369423872.0,1369427968.0,L1,O4a,0.0594402551651001,8,run_spanning_complete_raw_blocks_within_block_even_spacing
60,1369714564.0,1369714596.0,E:\o4a\1369491712\L1_1369712896_1369716992.hdf5,1369712896.0,1369716992.0,L1,O4a,0.0628813132643699,13,run_spanning_complete_raw_blocks_within_block_even_spacing
61,1369714628.0,1369714660.0,E:\o4a\1369491712\L1_1369712896_1369716992.hdf5,1369712896.0,1369716992.0,L1,O4a,0.0564259700477123,13,run_spanning_complete_raw_blocks_within_block_even_spacing
62,1369714756.0,1369714788.0,E:\o4a\1369491712\L1_1369712896_1369716992.hdf5,1369712896.0,1369716992.0,L1,O4a,0.0571280270814895,13,run_spanning_complete_raw_blocks_within_block_even_spacing
63,1369714884.0,1369714916.0,E:\o4a\1369491712\L1_1369712896_1369716992.hdf5,1369712896.0,1369716992.0,L1,O4a,0.0687618106603622,13,run_spanning_complete_raw_blocks_within_block_even_spacing
